STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
1,ACB,ACB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
2,BCM,Becamex IDC,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
3,BID,BIDV,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
4,BVH,Tập đoàn Bảo Việt,HOSE,Tài chính,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ
5,CTG,VietinBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
6,FPT,FPT Corp,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
7,GAS,PV Gas,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
8,GVR,Tập đoàn CN Cao su VN,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
9,HDB,HDBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
10,HPG,Hòa Phát,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
11,LPB,LPBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
12,MBB,MBBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
13,MSN,Tập đoàn Masan,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
14,MWG,Thế giới di động,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
15,PLX,Petrolimex,HOSE,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí
16,SAB,SABECO,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
17,SHB,SHB,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
18,SSB,SeABank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
19,SSI,Chứng khoán SSI,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
20,STB,Sacombank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
21,TCB,Techcombank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
22,TPB,TPBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
23,VCB,Vietcombank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
24,VHM,Vinhomes,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
25,VIB,VIBBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
26,VIC,VinGroup,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
27,VJC,Vietjet Air,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ hàng không
28,VNM,VINAMILK,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
29,VPB,VPBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
30,VRE,Vincom Retail,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
31,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
32,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
33,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
34,ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
35,ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
36,ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
37,ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
38,ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
39,ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
40,ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông
41,ADP,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
42,ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
43,AGG,Bất động sản An Gia,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
44,AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
45,AGR,Agriseco,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
46,ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
47,APG,Chứng khoán APG,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
48,APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
49,ASG,Tập đoàn ASG,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
50,ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
51,ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
52,AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
53,ATP,T.Mại và DV An Thành,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
54,BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
55,BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
56,BCE,XD và GT Bình Dương,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
57,BCG,Bamboo Capital,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
58,BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
59,BHN,HABECO,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
60,BIC,Bảo hiểm BIDV,HOSE,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
61,BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
62,BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
63,BMI,Bảo hiểm Bảo Minh,HOSE,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
64,BMP,Nhựa Bình Minh,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
65,BRC,Cao su Bến Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
66,BSI,Chứng khoán BIDV,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
67,BSR,Lọc Hóa dầu Bình Sơn,HOSE,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí
68,BTP,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
69,BTT,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
70,BWE,Nước - Môi trường Bình Dương,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
71,C32,CIC39,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
72,C47,Xây dựng 47,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
73,CCI,CIDICO,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
74,CCL,ĐT & PT Đô thị Dầu khí Cửu Long,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
75,CDC,Chương Dương Corp,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
76,CHP,Thủy điện Miền Trung,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
77,CIG,Xây dựng COMA 18,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
78,CII,Hạ tầng Kỹ thuật TP.HCM,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
79,CKG,Xây dựng Kiên Giang,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
80,CLC,Thuốc lá Cát Lợi,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Thuốc lá,Thuốc lá
81,CLL,Cảng Cát Lái,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
82,CLW,Cấp nước Chợ Lớn,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
83,CMG,Tập đoàn Công nghệ CMC,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Dịch vụ Máy tính
84,CMV,Thương nghiệp Cà Mau,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
85,CMX,CAMIMEX Group,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
86,CNG,CNG Việt Nam,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
87,COM,Vật tư Xăng dầu,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
88,CRC,Create Capital Việt Nam,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
89,CRE,Bất động sản Thế Kỷ,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
90,CRV,Tập đoàn Bất động sản CRV,HOSE,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
91,CSM,Cao su Miền Nam,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
92,CSV,Hóa chất Cơ bản miền Nam,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
93,CTD,Xây dựng Coteccons,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
94,CTF,City Auto,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
95,CTI,Cường Thuận IDICO,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
96,CTR,Công trình Viettel,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
97,CTS,Chứng khoán Vietinbank,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
98,CVT,CMC JSC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
99,D2D,Phát triển Đô thị số 2,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
100,DAH,Tập đoàn Khách sạn Đông Á,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
101,DAT,ĐT Du lịch và PT Thủy sản,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
102,DBC,Tập đoàn DABACO,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
103,DBD,Dược - TB Y tế Bình Định,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
104,DBT,Dược phẩm Bến Tre,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
105,DC4,Xây dựng DIC Holdings,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
106,DCL,Dược phẩm Cửu Long,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
107,DCM,Đạm Cà Mau,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
108,DGC,Hóa chất Đức Giang,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
109,DGW,Thế Giới Số,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
110,DHA,Hóa An,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
111,DHC,Đông Hải Bến Tre,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
112,DHG,Dược Hậu Giang,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
113,DHM,Khoáng sản Dương Hiếu,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
114,DIG,DIC Corp,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
115,DLG,Đức Long Gia Lai,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
116,DMC,Dược phẩm DOMESCO,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
117,DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
118,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
119,DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
120,DQC,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
121,DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
122,DRH,DRH Holdings,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
123,DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
124,DSC,Chứng khoán DSC,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
125,DSE,Chứng Khoán DNSE,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
126,DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
127,DTA,BĐS Đệ Tam,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
128,DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
129,DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
130,DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
131,DXG,Địa ốc Đất Xanh,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
132,DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
133,DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
134,E1VFVN30,Quỹ ETF DCVFMVN30,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
135,EIB,Eximbank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
136,ELC,ELCOM,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
137,EVE,Everpia,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
138,EVF,Tài chính Điện lực,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân
139,EVG,Tập đoàn Everland,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
140,FCM,Khoáng sản FECON,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
141,FCN,FECON CORP,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
142,FDC,FIDECO,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
143,FIR,Địa ốc First Real,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
144,FIT,Tập đoàn F.I.T,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
145,FMC,Thực phẩm Sao Ta,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
146,FRT,Bán lẻ FPT,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
147,FTS,Chứng khoán FPT,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
148,FUCTVGF3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
149,FUCTVGF4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
150,FUCTVGF5,Quỹ Đầu tư Tăng trưởng Thiên Việt 5,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
151,FUCVREIT,Quỹ Đầu tư BĐS Techcom Việt Nam,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
152,FUEABVND,Quỹ ETF ABFVN DIAMOND,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
153,FUEBFVND,ETF BVFVN DIAMOND,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
154,FUEDCMID,Quỹ ETF DCVFMVNMIDCAP,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
155,FUEFCV50,Quỹ ETF FPT CAPITAL VNX50,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
156,FUEIP100,ETF IPAAM VN100,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
157,FUEKIV30,KIM GROWTH VN30 ETF,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
158,FUEKIVFS,KIM GROWTH VNFINSELECT ETF,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
159,FUEKIVND,Quỹ ETF KIM GROWTH VN DIAMOND,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
160,FUEMAV30,Quỹ ETF MAFM VN30,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
161,FUEMAVND,Quỹ ETF MAFM VNDIAMOND,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
162,FUESSV30,Quỹ ETF SSIAM VN30,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
163,FUESSV50,Quỹ ETF SSIAM VNX50,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
164,FUESSVFL,Quỹ ETF SSIAM VNFIN LEAD,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
165,FUETCC50,Quỹ ETF TECHCOM CAPITAL VNX50,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
166,FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
167,FUEVN100,Quỹ ETF VINACAPITAL VN100,HOSE,Tài chính,Dịch vụ tài chính,Quỹ đầu tư,Quỹ đầu tư
168,GDT,Gỗ Đức Thành,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
169,GEE,Thiết bị điện GELEX,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
170,GEG,Điện Gia Lai,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
171,GEX,Tập đoàn Gelex,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
172,GIL,XNK Bình Thạnh,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
173,GMD,Gemadept,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
174,GMH,Minh Hưng Quảng Trị,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
175,GSP,Vận tải Sản phẩm Khí Quốc tế,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
176,GTA,Gỗ Thuận An,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
177,HAG,Hoàng Anh Gia Lai,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
178,HAH,Vận tải và Xếp dỡ Hải An,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
179,HAP,Tập đoàn Hapaco,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
180,HAR,BĐS An Dương Thảo Điền,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
181,HAS,Hacisco,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
182,HAX,Ô tô Hàng Xanh,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
183,HCD,SX và Thương mại HCD,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
184,HCM,Chứng khoán HSC,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
185,HDC,Phát triển Nhà BR-VT,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
186,HDG,Tập đoàn Hà Đô,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
187,HHP,HHP Global,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
188,HHS,Đầu tư DV Hoàng Huy,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
189,HHV,Đầu tư Hạ tầng Giao thông Đèo Cả,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
190,HID,Halcom Vietnam,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
191,HII,An Tiến Industries,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
192,HMC,Kim khí TP.HCM,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
193,HNA,Thủy điện Hủa Na,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
194,HPX,Đầu tư Hải Phát,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
195,HQC,Địa ốc Hoàng Quân,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
196,HRC,Cao su Hòa Bình,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
197,HSG,Tập đoàn Hoa Sen,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
198,HSL,Thực phẩm Hồng Hà,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
199,HT1,VICEM Hà Tiên,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
200,HTG,Dệt may Hòa Thọ,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
201,HTI,PT Hạ tầng IDICO,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
